,Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,Year
1,Steven Adams,210.19,213.36,254.5,224.79,278.13,6.7,9.5,11,2013
2,Vander Blue,191.77,196.22,197.4,198.12,255.27,4.6,8.5,9.5,2013
3,Lorenzo Brown,193.04,196.22,189.2,200.66,254.0,4,8.25,8.5,2013
4,Reggie Bullock,197.49,200.66,199.8,205.1,259.08,7,8.5,9,2013
5,Trey Burke,182.25,186.06,187,196.85,247.65,6.9,8.25,8.75,2013
6,Kentavious Caldwell-Pope,194.31,196.85,203.6,203.2,255.27,6.5,8.5,9,2013
7,Isaiah Canaan,180.34,182.88,188.4,194.31,240.03,5.9,8.25,9.5,2013
8,Jackie Carmichael,201.93,205.74,241.2,217.17,271.78,5.8,9,10.25,2013
9,Michael Carter-Williams,194.94,197.49,184.4,201.3,256.54,4.4,7.5,8.5,2013
10,Will Clyburn,197.49,200.66,210.4,214.0,266.7,6.9,9.25,10.25,2013
11,Robert Covington,198.75,201.93,208.6,217.81,269.24,4.7,9,8.5,2013
12,Allen Crabbe,196.22,198.75,197.4,211.46,262.89,4.7,8.25,8.5,2013
13,Seth Curry,185.42,190.5,179.2,193.04,247.65,9.6,8,8.25,2013
14,Brandon Davies,204.47,208.91,241.8,217.17,275.59,8.6,9,11,2013
15,Dewayne Dedmon,208.28,212.09,238.8,223.52,276.86,8.4,9,11,2013
16,Gorgui Dieng,207.65,210.19,229.6,222.25,283.21,5.4,9,10,2013
17,James Ennis,197.49,200.66,200.8,212.09,265.43,4.5,8.5,8.75,2013
18,Carrick Felix,194.94,198.75,202.6,206.38,262.89,3.3,8.5,9.5,2013
19,Jamaal Franklin,193.04,196.22,190.8,211.46,262.89,8.3,8.5,8.25,2013
20,Rudy Gobert,214.63,218.44,237.6,234.95,292.1,4.4,9.75,10,2013
21,Archie Goodwin,192.41,196.22,189,207.01,259.08,4.6,8.5,9,2013
22,Erick Green,186.69,190.5,178.2,197.49,248.92,4.4,8.5,9,2013
23,Tim Hardaway Jr,194.31,198.75,199.4,200.66,256.54,6.1,8,9.25,2013
24,Solomon Hill,196.85,200.66,226,205.74,261.62,7.6,9,10.5,2013
25,Richard Howell,198.75,201.93,249.6,208.91,267.97,8.8,8.75,9.5,2013
26,Colton Iverson,209.55,213.36,262.8,218.44,279.4,9.6,9.25,9.5,2013
27,Pierre Jackson,176.53,179.07,176,177.8,228.6,4.5,7.5,8.25,2013
28,Grant Jerrett,205.1,208.91,232,218.44,276.86,10.1,8.5,9.25,2013
29,Myck Kabongo,186.06,189.87,180.4,198.75,248.92,6,8.25,9,2013
30,Kenny Kadji,205.1,208.28,241.6,220.98,270.51,7.5,9,10.25,2013
31,Ryan Kelly,207.65,212.72,228,212.09,279.4,14.8,9,10,2013
32,Shane Larkin,178.44,181.61,170.8,179.71,227.33,3.8,7.5,8.75,2013
33,Ricardo Ledo,194.94,198.12,197.2,201.3,260.35,10.3,8.5,9.25,2013
35,CJ Leslie,201.93,205.1,209.2,219.08,265.43,8,8.75,9,2013
36,Trevor Mbakwe,200.03,203.2,235.8,223.52,270.51,5.9,9.5,11.5,2013
37,Ray McCallum,183.52,187.32,191.4,191.13,245.11,7.3,8,8.75,2013
38,CJ McCollum,188.59,191.13,197,198.75,245.11,8.6,8,9.5,2013
39,Ben McLemore,191.77,194.94,189.2,202.56,255.27,5,8.75,9.5,2013
40,Tony Mitchell 2586,201.93,205.1,236.4,219.71,270.51,5.6,9,10,2013
41,Shabazz Muhammad,194.94,198.75,221.8,210.82,265.43,9,9,10,2013
42,Erik Murphy,205.1,207.01,239.8,209.55,274.32,8,8.75,9.75,2013
43,Mike Muscala,208.91,212.09,230.2,215.9,274.32,6.8,8.5,9,2013
44,Nerlens Noel,208.28,212.72,206.4,222.88,279.4,4.2,9.5,10,2013
45,Victor Oladipo,191.13,193.68,213.2,206.38,255.27,6.6,8.75,9.25,2013
46,Kelly Olynyk,210.19,213.36,234,207.65,274.32,6.7,8.5,10,2013
47,Brandon Paul,189.87,193.04,201,208.91,248.92,5.3,8.5,9.5,2013
48,Norvel Pelle,207.01,209.55,207.2,219.71,276.86,5.2,8.75,9.5,2013
49,Mason Plumlee,211.46,214.63,238.2,210.82,274.32,6.15,9.75,9.5,2013
50,Otto Porter,201.93,204.47,197.6,217.17,267.97,6.7,8.75,9.25,2013
51,Phil Pressey,176.53,181.61,177,188.59,233.68,4.7,7.75,9.75,2013
52,Glen Rice Jr.,194.31,197.49,210.8,206.38,257.81,8.5,8.5,9,2013
53,Andre Roberson,198.75,200.66,205.8,210.82,265.43,7.1,8.75,9.5,2013
54,Dennis Schroeder,185.42,187.96,164.8,202.56,248.92,4.1,8.75,10.5,2013
55,Peyton Siva,181.61,185.42,180.6,190.5,236.22,6.1,8,9.75,2013
56,Tony Snell,198.12,201.3,198.2,212.09,267.97,4.9,9,9.5,2013
57,James Southerland,200.66,203.2,220.6,215.9,269.24,8.05,8,9.5,2013
58,Adonis Thomas,194.94,197.49,231.8,215.9,251.46,7.5,9.25,9.5,2013
59,DeShaun Thomas,195.58,200.66,219.8,208.28,264.16,9.1,8,8.75,2013
60,Jeff Withey,210.19,214.63,221.8,218.44,280.67,8.7,9,9.75,2013
61,Nate Wolters,191.77,194.94,196.4,192.41,248.92,5.5,8.25,8.75,2013
62,BJ Young,188.59,191.77,178.8,203.84,251.46,4.7,8.5,9.5,2013
63,Cody Zeller,210.19,214.0,230,210.19,269.24,4.75,8.5,10.5,2013
1,Jordan Adams,191.77,194.94,208.8,208.28,259.08,10.80,8.50,7.50,2014
2,Kyle Anderson,201.93,204.47,230.1,220.22,273.05,13.35,8.25,8.75,2014
3,Thanasis Antetokounmpo,196.22,198.75,205.2,213.36,265.43,6.05,9.00,9.75,2014
4,Isaiah Austin,212.09,214.63,219.5,224.79,285.75,7.50,8.75,8.75,2014
5,Jordan Bachynski,216.53,218.44,254.1,223.52,275.59,7.50,9.25,10.00,2014
6,Cameron Bairstow,205.1,207.65,252.4,215.27,271.78,8.70,8.75,9.00,2014
7,Khem Birch,201.93,206.38,208.8,215.9,271.78,6.00,9.00,8.50,2014
8,Markel Brown,189.23,191.77,184.4,205.1,254.0,4.20,8.25,9.75,2014
9,Jabari Brown,190.5,193.68,201.9,203.84,254.0,6.05,9.00,9.25,2014
10,Alec Brown,214.0,216.53,231.2,217.17,276.86,7.70,9.25,8.75,2014
11,Deonte Burton,182.88,186.06,192.8,200.66,247.65,7.65,8.25,8.00,2014
12,Jahii Carson,177.16,180.34,179.6,187.96,236.22,6.50,7.50,8.75,2014
14,Jordan Clarkson,191.13,195.58,186.3,203.2,248.92,4.30,8.25,9.00,2014
15,Aaron Craft,184.78,187.32,191.6,187.96,240.03,6.10,7.75,8.50,2014
16,DeAndre Daniels,201.3,204.47,196.0,218.44,270.51,3.85,9.25,10.50,2014
17,Spencer Dinwiddie,194.31,198.12,204.9,203.84,261.62,5.35,8.25,9.00,2014
18,Cleanthony Early,198.12,201.3,209.4,210.19,257.81,4.45,8.50,9.00,2014
19,Melvin Ejim,196.22,200.66,218.5,212.72,262.89,6.45,8.75,9.25,2014
20,Tyler Ennis,185.42,189.23,181.5,201.3,248.92,6.20,8.25,8.75,2014
21,Dante Exum,194.31,198.12,196.3,207.01,261.62,6.40,8.50,9.50,2014
22,CJ Fair,199.39,203.2,218.1,207.01,264.16,5.05,9.00,9.00,2014
23,Aaron Gordon,201.93,205.1,220.1,212.72,266.7,5.05,8.75,10.50,2014
24,Jerami Grant,199.39,202.56,214.0,220.34,271.78,3.75,9.25,9.25,2014
25,PJ Hairston,193.68,196.22,228.0,205.74,256.54,8.20,8.75,9.75,2014
26,Gary Harris,189.23,194.31,204.8,200.03,243.84,4.55,8.50,9.50,2014
27,Joe Harris,194.94,198.75,215.0,198.12,254.0,6.20,8.50,9.75,2014
28,Rodney Hood,201.3,204.47,208.2,204.47,261.62,7.45,8.50,8.50,2014
29,Cory Jefferson,202.56,205.74,218.4,214.63,266.7,5.25,8.75,9.75,2014
30,Nick Johnson,186.69,190.5,198.0,201.3,245.11,6.05,8.75,9.75,2014
31,DeAndre Kane,189.87,194.31,199.9,203.2,251.46,5.00,8.25,9.00,2014
32,Sean Kilpatrick,189.23,193.68,218.7,200.66,251.46,9.20,9.00,9.00,2014
33,Alex Kirk,206.38,210.19,252.0,222.25,278.13,13.60,9.25,10.50,2014
34,Zach LaVine,194.31,197.49,180.9,203.71,254.0,4.70,8.25,8.75,2014
35,Devyn Marble,195.58,199.39,192.4,205.74,259.08,6.90,8.25,8.50,2014
36,James McAdoo,201.93,205.1,227.6,219.08,270.51,6.15,9.25,9.00,2014
37,KJ McDaniels,194.31,198.12,195.6,211.46,259.08,4.50,8.75,9.75,2014
38,Doug McDermott,198.75,202.56,218.0,206.38,261.62,7.10,8.75,9.75,2014
40,Jordan McRae,192.41,196.22,179.4,214.63,264.16,5.20,8.75,8.50,2014
41,Shabazz Napier,180.34,185.42,175.2,191.13,236.22,7.40,8.25,8.50,2014
42,Johnny O'Bryant,201.3,204.47,256.8,219.08,266.7,10.75,9.25,9.50,2014
43,Lamar Patterson,193.04,196.22,226.0,210.82,256.54,10.80,9.00,9.25,2014
44,Adreian Payne,205.74,207.65,238.5,223.52,276.86,7.60,9.25,9.50,2014
45,Elfrid Payton,189.23,192.41,185.4,203.2,250.19,5.65,8.75,9.00,2014
46,Dwight Powell,207.01,210.82,234.4,214.63,266.7,6.20,9.00,9.25,2014
47,Julius Randle,202.56,205.74,249.7,213.36,267.97,9.40,8.75,8.25,2014
48,Glenn Robinson,196.85,200.1,211.4,208.28,255.27,5.05,9.00,9.50,2014
49,LaQuinton Ross,199.39,201.93,238.7,217.81,269.24,16.30,8.75,9.75,2014
50,Marcus Smart,187.96,191.13,227.2,206.38,251.46,10.55,9.00,8.75,2014
51,Russ Smith,181.61,184.78,160.0,191.77,241.3,3.50,8.25,8.50,2014
52,Nik Stauskas,196.22,199.39,206.9,202.56,259.08,12.10,8.50,8.50,2014
53,Jarnell Stokes,200.66,204.47,262.8,216.41,262.89,8.20,9.75,10.50,2014
54,Xavier Thames,188.59,191.77,187.0,193.04,243.84,6.40,8.25,9.00,2014
55,Noah Vonleh,203.2,207.01,247.1,224.16,274.32,7.30,9.75,11.75,2014
56,TJ Warren,200.66,203.84,220.2,208.79,264.16,8.00,8.75,9.00,2014
57,CJ Wilcox,191.77,195.58,201.0,207.65,255.27,6.50,8.75,9.00,2014
58,Kendall Williams,188.59,192.41,183.0,196.85,251.46,7.20,8.00,7.75,2014
59,James Young,196.22,200.03,213.3,213.36,264.16,5.10,9.00,9.50,2014
60,Patric Young,204.47,208.28,246.8,217.81,262.89,5.45,9.25,9.25,2014
1,Cliff Alexander,201.3,204.47,239.2 ,220.98,278.13,5.80,9.50,10.25,2015
2,Justin Anderson,196.22,198.75,230.6,212.72,256.54,5.00,8.50,9.50,2015
3,Brandon Ashley,201.3,204.47,228.0,221.62,266.7,8.80,9.00,9.50,2015
4,Ryan Boatright,177.8,180.34,169.6,184.15,234.95,6.60,7.50,8.75,2015
5,Devin Booker,194.31,197.49,205.8,203.84,260.35,8.30,8.75,9.00,2015
6,Anthony Brown,196.22,204.47,211.0,211.46,265.43,6.10,8.50,9.00,2015
7,Willie Cauley-Stein,211.46,214.63,242.4,220.98,281.94,6.30,9.50,9.00,2015
9,Pat Connaughton,193.04,196.22,215.0,205.1,243.84,10.20,8.50,9.25,2015
10,Quinn Cook,183.52,187.96,179.0,193.04,245.11,6.70,7.50,8.25,2015
11,Branden Dawson,196.85,200.03,230.2,210.82,266.7,5.80,9.00,8.75,2015
12,Sam Dekker,202.56,205.74,218.6,212.09,269.24,7.50,8.50,9.25,2015
13,Michael Frazier,192.41,193.68,199.4,203.2,257.81,7.40,8.25,9.25,2015
14,Treveon Graham,194.94,197.49,219.4,209.55,261.62,5.50,8.50,8.25,2015
15,Jerian Grant,191.13,193.68,198.0,201.93,254.0,5.60,8.25,8.50,2015
16,Olivier Hanlan,191.13,193.68,185.8,199.39,254.0,4.30,8.00,8.75,2015
17,Montrezl Harrell,200.66,201.93,253.4,224.16,276.86,11.90,9.00,9.75,2015
18,Aaron Harrison,194.31,198.12,209.2,203.84,255.27,6.00,8.30,10.00,2015
19,Andrew Harrison,194.31,196.85,213.2,205.74,254.0,5.90,8.25,9.25,2015
20,Tyler Harvey,189.87,193.04,181.4,196.85,250.19,9.20,7.75,8.75,2015
21,Corey Hawkins,184.78,187.32,191.8,203.2,252.73,5.50,8.30,9.00,2015
22,Rondae Hollis-Jefferson,196.85,200.66,210.8,218.44,264.16,5.00,8.75,9.75,2015
23,Jonathan Holmes,203.84,206.38,242.2,212.09,273.05,7.20,8.25,9.50,2015
24,Richaun Holmes,203.84,207.01,242.8,217.17,274.32,8.80,8.50,8.50,2015
25,RJ Hunter,194.31,198.12,185.0,209.55,264.16,6.00,8.50,8.25,2015
27,Mouhammadou Jaiteh,207.01,209.55,246.8,221.62,280.67,9.90,9.00,9.25,2015
28,Dakari Johnson,210.82,212.72,264.6,218.44,284.48,14.90,9.25,10.50,2015
29,Stanley Johnson,195.58,199.39,241.8,212.09,259.08,7.50,9.00,9.00,2015
30,Tyus Jones,183.52,187.96,184.6,195.58,246.38,6.50,8.25,8.75,2015
31,Frank Kaminsky,212.72,215.27,231.2,210.82,278.13,9.40,8.50,9.50,2015
32,Kevon Looney,203.2,206.38,222.4,222.25,279.4,11.90,9.50,9.25,2015
33,Trey Lyles,205.74,208.91,241.2,217.17,274.32,12.10,9.25,10.25,2015
35,TJ McConnell,184.15,187.96,187.8,187.96,245.11,7.30,7.50,7.00,2015
36,Chris McCullough,203.84,205.74,199.0,221.62,276.86,6.20,8.75,8.75,2015
37,Jordan Mickey,200.66,203.84,238.0,221.49,269.24,7.20,8.75,9.50,2015
38,Larry Nance,201.93,204.47,226.6,217.17,274.32,6.40,9.00,9.75,2015
39,Kelly Oubre,197.49,200.03,202.8,219.08,260.35,5.70,9.00,8.75,2015
40,Cameron Payne,184.78,186.69,182.6,201.3,247.65,6.30,8.50,8.25,2015
41,Terran Petteway,194.94,198.12,209.2 ,211.33,265.43,4.90,8.25,8.25,2015
42,Bobby Portis,207.01,209.55,246.2,218.44,275.59,8.90,9.50,9.25,2015
43,Norman Powell,190.5,193.68,215.4,210.19,260.35,6.40,9.25,9.00,2015
44,Michael Qualls,193.04,195.58,201.4,214.0,265.43,4.00,9.00,10.25,2015
45,Chasson Randle,184.78,186.69,178.8,200.66,245.11,4.50,8.50,9.50,2015
46,Terry Rozier,184.78,188.59,190.2,203.84,250.19,5.60,8.25,8.75,2015
47,D'Angelo Russell,191.13,195.58,193.4,207.65,259.08,8.30,8.75,9.75,2015
48,Keifer Sykes,179.07,182.25,167.2,187.96,236.22,5.00,8.50,9.50,2015
49,Tashawn Thomas,201.3,203.2,240.2,218.44,274.32,12.40,9.00,9.25,2015
50,Marcus Thornton,187.32,189.87,177.4,202.56,247.65,5.30,8.25,8.50,2015
51,JP Tokoto,196.22,198.75,195.8,208.28,255.27,4.10,8.00,8.75,2015
52,Myles Turner,207.65,212.09,238.6,223.52,284.48,9.30,9.25,9.25,2015
53,Robert Upshaw,210.19,213.36,258.2,227.33,287.02,12.50,10.00,11.00,2015
54,Rashad Vaughn,192.41,195.58,198.6,200.66,256.54,6.20,8.00,8.50,2015
55,Chris Walker,205.1,206.38,208.0,220.34,274.32,5.10,9.00,9.00,2015
57,Aaron White,202.56,205.1,219.8,212.09,270.51,8.00,8.25,9.25,2015
58,Alan Williams,201.3,203.84,261.4,217.81,270.51,12.00,8.50,9.50,2015
59,Justise Winslow,194.31,199.39,221.8,208.91,265.43,5.30,8.50,9.25,2015
60,Christian Wood,206.38,209.55,216.0,221.62,283.21,14.70,9.25,10.75,2015
61,Delon Wright,193.68,196.85,181.4,201.93,257.81,6.60,8.00,8.50,2015
62,Joseph Young,184.78,187.96,182.2,195.58,240.03,4.10,8.25,7.50,2015
63,George de Paula,194.31,196.85,197.0,213.36,264.16,6.70,9.50,10.00,2015
1,Ron Baker,191.13,193.68,212.4,207.65,247.65,7.85,8.75,9.50,2016
2,Wade Baldwin,189.23,193.04,201.8,211.46,254.0,5.20,9.00,9.75,2016
3,Anthony Barber,186.69,189.87,173.0,196.85,242.57,4.50,8.00,8.50,2016
4,Malik Beasley,191.77,194.31,189.8,200.66,255.27,6.90,8.50,9.00,2016
5,DeAndre Bembry,193.68,197.49,206.6,206.38,256.54,7.00,8.00,9.25,2016
