,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
0,2000,2124,Malik,Allen,Malik Allen,PF-C,80.25,271,86.5,109.0,9' 1'',25.5,29.0,11.83,3.38,13.0
2,2000,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,235.5,87.5,108.0,9' 0'',28.0,29.5,12.3,3.4,10.0
3,2000,12131,Mario,Bland,Mario Bland,PF,77.5,287,84.0,103.0,8' 7'',27.0,31.0,13.04,3.47,15.0
6,2000,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,166,72.0,94.5,7' 10.5'',36.0,42.5,10.48,3.06,6.0
7,2000,12132,Eric,Coley,Eric Coley,SG-SF,76.0,205,83.0,102.0,8' 6'',35.0,38.0,11.4,3.15,10.0
8,2000,12133,Ed,Cota,Ed Cota,PG,72.25,189,76.0,96.5,8' 0.5'',26.5,33.5,10.98,3.24,1.0
9,2000,12134,Schea,Cotton,Schea Cotton,SF,76.25,219.5,79.0,100.0,8' 4'',34.0,38.0,11.55,3.0,19.0
11,2000,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,220.5,86.0,107.5,8' 11.5'',33.5,37.5,12.12,3.16,18.0
12,2000,2064,Khalid,El-Amin,Khalid El-Amin,PG,69.0,200,73.5,93.0,7' 9'',27.5,32.0,10.59,3.32,6.0
13,2000,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,262,82.5,106.5,8' 10.5'',21.0,28.5,11.75,3.52,13.0
14,2000,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,219,80.5,106.0,8' 10'',27.0,30.0,11.6,3.44,2.0
15,2000,2109,Eddie,Gill,Eddie Gill,PG,71.75,176,76.0,93.0,7' 9'',35.0,38.5,11.12,3.18,13.0
17,2000,12136,Marcus,Goree,Marcus Goree,SF-PF,79.5,239,84.5,105.5,8' 9.5'',29.5,33.5,12.0,3.25,13.0
