,PERSON_ID,DISPLAY_FIRST_LAST,SCHOOL,BIRTHDATE,SEASON_EXP,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,1630173,Precious Achiuwa,Memphis,1999-09-19T00:00:00,2,2020,1,20
0,101165,Alex Acker,Pepperdine,1983-01-21T00:00:00,3,2005,2,60
0,203112,Quincy Acy,Baylor,1990-10-06T00:00:00,7,2012,2,37
0,203919,Jordan Adams,UCLA,1994-07-08T00:00:00,3,2014,1,22
0,203500,Steven Adams,Pittsburgh,1993-07-20T00:00:00,9,2013,1,12
0,202399,Jeff Adrien,Connecticut,1986-02-10T00:00:00,6,Undrafted,Undrafted,Undrafted
0,200772,Maurice Ager,Michigan State,1984-02-09T00:00:00,4,2006,1,28
0,202374,Solomon Alabi,Florida State,1988-03-21T00:00:00,3,2010,2,50
0,202332,Cole Aldrich,Kansas,1988-10-31T00:00:00,9,2010,1,11
0,200746,LaMarcus Aldridge,Texas-Austin,1985-07-19T00:00:00,16,2006,1,2
0,1626146,Cliff Alexander,Kansas,1995-11-16T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201570,Joe Alexander,West Virginia,1986-12-26T00:00:00,3,2008,1,8
0,1630234,Ty-Shon Alexander,Creighton,1998-07-16T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1629638,Nickeil Alexander-Walker,Virginia Tech,1998-09-02T00:00:00,3,2019,1,17
0,1628959,Rawle Alkins,Arizona,1997-10-29T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1628960,Grayson Allen,Duke,1995-10-08T00:00:00,4,2018,1,21
0,1628386,Jarrett Allen,Texas-Austin,1998-04-21T00:00:00,5,2017,1,22
0,1628443,Kadeem Allen,Arizona,1993-01-15T00:00:00,3,2017,2,53
0,2124,Malik Allen,Villanova,1978-06-27T00:00:00,11,Undrafted,Undrafted,Undrafted
0,2754,Tony Allen,Oklahoma State,1982-01-11T00:00:00,14,2004,1,25
0,201165,Morris Almond,Rice,1985-02-02T00:00:00,4,2007,1,25
0,202329,Al-Farouq Aminu,Wake Forest,1990-09-21T00:00:00,12,2010,1,8
0,200811,Lou Amundson,UNLV,1982-12-07T00:00:00,11,Undrafted,Undrafted,Undrafted
0,101187,Alan Anderson,Michigan State,1982-10-16T00:00:00,9,Undrafted,Undrafted,Undrafted
0,202341,James Anderson,Oklahoma State,1989-03-25T00:00:00,6,2010,1,20
0,1626147,Justin Anderson,Virginia,1993-11-19T00:00:00,6,2015,1,21
0,203937,Kyle Anderson,UCLA,1993-09-20T00:00:00,8,2014,1,30
0,101149,Martynas Andriuskevicius,Zalgiris,1986-03-12T00:00:00,2,2005,2,44
0,1628387,Ike Anigbogu,UCLA,1998-10-16T00:00:00,3,2017,2,47
0,1628961,Kostas Antetokounmpo,University of Dayton,1997-11-20T00:00:00,4,2018,2,60
0,203648,Thanasis Antetokounmpo,Panathinaikos,1992-07-18T00:00:00,4,2014,2,51
0,2546,Carmelo Anthony,Syracuse,1984-05-29T00:00:00,19,2003,1,3
0,1628384,OG Anunoby,Indiana,1997-07-17T00:00:00,5,2017,1,23
0,2425,Robert Archibald,Illinois,1980-03-29T00:00:00,3,2002,2,31
0,2240,Gilbert Arenas,Arizona,1982-01-06T00:00:00,12,2001,2,30
0,2772,Trevor Ariza,UCLA,1985-06-30T00:00:00,18,2004,2,43
0,2220,Brandon Armstrong,Pepperdine,1980-06-16T00:00:00,4,2001,1,23
0,200756,Hilton Armstrong,Connecticut,1984-11-23T00:00:00,6,2006,1,12
0,201589,Darrell Arthur,Kansas,1988-03-25T00:00:00,10,2008,1,27
0,1628503,Jamel Artis,Pittsburgh,1993-01-12T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201571,D.J. Augustin,Texas-Austin,1987-11-10T00:00:00,14,2008,1,9
0,200788,James Augustine,Illinois,1984-02-27T00:00:00,2,2006,2,41
0,201965,Jeff Ayres,Arizona State,1987-04-29T00:00:00,7,2009,2,31
0,1628962,Udoka Azubuike,Kansas,1999-09-17T00:00:00,2,2020,1,27
0,202337,Luke Babbitt,Nevada-Reno,1989-06-20T00:00:00,9,2010,1,16
0,1628407,Dwayne Bacon,Florida State,1995-08-30T00:00:00,5,2017,2,40
0,203946,Cameron Bairstow,New Mexico,1990-12-07T00:00:00,3,2014,2,49
0,2486,Maurice Baker,Oklahoma State,1979-07-28T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1627758,Ron Baker,Wichita State,1993-03-30T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1627735,Wade Baldwin IV,Vanderbilt,1996-03-29T00:00:00,3,2016,1,17
0,200764,Renaldo Balkman,South Carolina,1984-07-14T00:00:00,7,2006,1,20
0,203084,Harrison Barnes,North Carolina,1992-05-30T00:00:00,10,2012,1,7
0,2440,Matt Barnes,UCLA,1980-03-09T00:00:00,15,2002,2,45
0,1630567,Scottie Barnes,Florida State,2001-08-01T00:00:00,1,2021,1,4
0,2857,Andre Barrett,Seton Hall,1982-02-21T00:00:00,5,Undrafted,Undrafted,Undrafted
0,1629628,RJ Barrett,Duke,2000-06-14T00:00:00,3,2019,1,3
0,203115,Will Barton,Memphis,1991-01-06T00:00:00,10,2012,2,40
0,101188,Eddie Basden,North Carolina-Charlotte,1983-02-15T00:00:00,2,Undrafted,Undrafted,Undrafted
0,101138,Brandon Bass,Louisiana State,1985-04-30T00:00:00,13,2005,2,33
0,1629646,Charles Bassey,Western Kentucky,2000-10-28T00:00:00,1,2021,2,53
0,1628966,Keita Bates-Diop,Ohio State,1996-01-23T00:00:00,4,2018,2,48
0,2203,Shane Battier,Duke,1978-09-09T00:00:00,13,2001,1,6
0,2437,Lonny Baxter,Maryland,1979-01-27T00:00:00,4,2002,2,43
0,201573,Jerryd Bayless,Arizona,1988-08-20T00:00:00,12,2008,1,11
0,1629647,Darius Bazley,Princeton HS (OH),2000-06-12T00:00:00,3,2019,1,23
0,203078,Bradley Beal,Florida,1993-06-28T00:00:00,10,2012,1,3
0,2602,Jerome Beasley,North Dakota,1980-05-17T00:00:00,2,2003,2,33
0,1627736,Malik Beasley,Florida State,1996-11-26T00:00:00,6,2016,1,19
0,201563,Michael Beasley,Kansas State,1989-01-09T00:00:00,12,2008,1,2
0,201958,Rodrigue Beaubois,Cholet,1988-02-24T00:00:00,5,2009,1,25
0,2294,Charlie Bell,Michigan State,1979-03-12T00:00:00,8,Undrafted,Undrafted,Undrafted
0,1628395,Jordan Bell,Oregon,1995-01-07T00:00:00,5,2017,2,38
0,2559,Troy Bell,Boston College,1980-11-10T00:00:00,2,2003,1,16
0,202728,Keith Benson,Oakland,1988-08-13T00:00:00,2,2011,2,48
0,1627791,Ben Bentil,Providence,1995-03-29T00:00:00,1,2016,2,51
0,1630189,Tyler Bey,Colorado,1998-02-10T00:00:00,2,2020,2,36
0,2740,Andris Biedrins,BK Skonto,1986-04-02T00:00:00,10,2004,1,11
0,203920,Khem Birch,UNLV,1992-09-28T00:00:00,5,Undrafted,Undrafted,Undrafted
0,201971,DeJuan Blair,Pittsburgh,1989-04-22T00:00:00,7,2009,2,37
0,200807,Will Blalock,Iowa State,1983-09-08T00:00:00,2,2006,2,60
0,202339,Eric Bledsoe,Kentucky,1989-12-09T00:00:00,13,2010,1,18
0,1628417,Jaron Blossomgame,Clemson,1993-09-16T00:00:00,2,2017,2,59
0,203505,Vander Blue,Marquette,1992-07-17T00:00:00,3,Undrafted,Undrafted,Undrafted
0,2800,Tony Bobbitt,Cincinnati,1979-10-22T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2586,Keith Bogans,Kentucky,1980-05-12T00:00:00,11,2003,2,43
0,101106,Andrew Bogut,Utah,1984-11-28T00:00:00,15,2005,1,1
0,1629626,Bol Bol,Oregon,1999-11-16T00:00:00,3,2019,2,44
0,1627762,Joel Bolomboy,Weber State,1994-01-28T00:00:00,2,2016,2,52
0,1629648,Jordan Bone,Tennessee,1997-11-05T00:00:00,2,2019,2,57
0,2588,Matt Bonner,Florida,1980-04-05T00:00:00,13,2003,2,45
0,1626164,Devin Booker,Kentucky,1996-10-30T00:00:00,7,2015,1,13
0,202344,Trevor Booker,Clemson,1987-11-25T00:00:00,8,2010,1,23
0,2430,Carlos Boozer,Duke,1981-11-20T00:00:00,13,2002,2,34
0,2414,Curtis Borchardt,Stanford,1980-09-13T00:00:00,3,2002,1,18
0,2547,Chris Bosh,Georgia Tech,1984-03-24T00:00:00,14,2003,1,4
0,1630527,Brandon Boston,Kentucky,2001-11-28T00:00:00,1,2021,2,51
0,1628449,Chris Boucher,Oregon,1993-01-11T00:00:00,5,Undrafted,Undrafted,Undrafted
0,1630547,James Bouknight,Connecticut,2000-09-18T00:00:00,1,2021,1,11
0,2257,Ruben Boumtje-Boumtje,Georgetown,1978-05-20T00:00:00,4,2001,2,49
0,1628968,Brian Bowen II,La Lumiere H.S.,1998-10-02T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1629065,Ky Bowman,Boston College,1997-06-16T00:00:00,2,Undrafted,Undrafted,Undrafted
0,202342,Craig Brackins,Iowa State,1987-10-09T00:00:00,3,2010,1,21
0,202340,Avery Bradley,Texas-Austin,1990-11-26T00:00:00,12,2010,1,19
0,2214,Michael Bradley,Villanova,1979-04-18T00:00:00,5,2001,1,17
0,1628396,Tony Bradley,North Carolina,1998-01-08T00:00:00,5,2017,1,28
0,1629649,Ignas Brazdeikis,Michigan,1999-01-08T00:00:00,3,2019,2,47
0,2452,J.R. Bremer,St. Bonaventure,1980-09-19T00:00:00,3,Undrafted,Undrafted,Undrafted
0,201147,Corey Brewer,Florida,1986-03-05T00:00:00,14,2007,1,7
0,2249,Jamison Brewer,Auburn,1980-11-19T00:00:00,4,2001,2,40
0,200758,Ronnie Brewer,Arkansas,1985-03-20T00:00:00,8,2006,1,14
0,2056,Primoz Brezec,Union Olimpija,1979-10-02T00:00:00,9,2000,1,27
0,1628970,Miles Bridges,Michigan State,1998-03-21T00:00:00,4,2018,1,12
0,1628515,Isaiah Briscoe,Kentucky,1996-04-13T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1627763,Malcolm Brogdon,Virginia,1992-12-11T00:00:00,6,2016,2,36
0,201166,Aaron Brooks,Oregon,1985-01-14T00:00:00,11,2007,1,26
0,1628415,Dillon Brooks,Oregon,1996-01-22T00:00:00,5,2017,2,45
0,2810,Andre Brown,DePaul,1981-05-12T00:00:00,4,Undrafted,Undrafted,Undrafted
0,1626148,Anthony Brown,Stanford,1992-10-10T00:00:00,4,2015,2,34
0,201628,Bobby Brown,Cal State-Fullerton,1984-09-24T00:00:00,4,Undrafted,Undrafted,Undrafted
0,1628971,Bruce Brown,Miami,1996-08-15T00:00:00,4,2018,2,42
0,2245,Damone Brown,Syracuse,1979-06-28T00:00:00,5,2001,2,36
0,244,Dee Brown,Jacksonville,1968-11-29T00:00:00,12,1990,1,19
0,200793,Dee Brown,Illinois,1984-08-17T00:00:00,3,2006,2,46
0,201974,Derrick Brown,Xavier,1987-09-08T00:00:00,4,2009,2,40
0,2081,Ernest Brown,Indian Hills C.C.,1979-05-17T00:00:00,2,2000,2,52
0,203913,Jabari Brown,Missouri,1992-12-18T00:00:00,2,2014,,
0,1627759,Jaylen Brown,California,1996-10-24T00:00:00,6,2016,1,3
0,2198,Kwame Brown,Glynn Academy HS (GA),1982-03-10T00:00:00,13,2001,1,1
0,203485,Lorenzo Brown,North Carolina State,1990-08-26T00:00:00,5,2013,2,52
0,203900,Markel Brown,Oklahoma State,1992-01-29T00:00:00,4,2014,2,44
0,1629650,Moses Brown,UCLA,1999-10-13T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1630535,Greg Brown III,Texas-Austin,2001-09-01T00:00:00,1,2021,2,43
0,1628973,Jalen Brunson,Villanova,1996-08-31T00:00:00,4,2018,2,33
0,1628418,Thomas Bryant,Indiana,1997-07-31T00:00:00,5,2017,2,42
0,201978,Chase Budinger,Arizona,1988-05-22T00:00:00,8,2009,2,44
0,203493,Reggie Bullock,North Carolina,1991-03-16T00:00:00,9,2013,1,25
0,203504,Trey Burke,Michigan,1992-11-12T00:00:00,9,2013,1,9
0,202692,Alec Burks,Colorado,1991-07-20T00:00:00,11,2011,1,12
0,2766,Antonio Burks,Memphis,1980-02-25T00:00:00,2,2004,2,36
0,1629126,Deonte Burton,Iowa State,1994-01-31T00:00:00,3,Undrafted,Undrafted,Undrafted
0,202221,Brian Butch,Wisconsin,1984-12-22T00:00:00,1,Undrafted,Undrafted,Undrafted
0,2406,Caron Butler,Connecticut,1980-03-13T00:00:00,15,2002,1,10
0,2866,Jackie Butler,Coastal Christian Academy (VA),1985-03-10T00:00:00,4,Undrafted,Undrafted,Undrafted
0,1630215,Jared Butler,Baylor,2000-08-25T00:00:00,1,2021,2,40
0,202710,Jimmy Butler,Marquette,1989-09-14T00:00:00,11,2011,1,30
0,2446,Rasual Butler,La Salle,1979-05-23T00:00:00,14,2002,2,52
0,101198,Will Bynum,Georgia Tech,1983-01-04T00:00:00,9,Undrafted,Undrafted,Undrafted
0,203484,Kentavious Caldwell-Pope,Georgia,1993-02-18T00:00:00,9,2013,1,8
0,203477,Isaiah Canaan,Murray State,1991-05-21T00:00:00,6,2013,2,34
0,202382,Derrick Caracter,Texas-El Paso,1988-05-04T00:00:00,2,2010,2,58
0,200760,Rodney Carney,Memphis,1984-04-05T00:00:00,5,2006,1,16
0,201960,DeMarre Carroll,Missouri,1986-07-27T00:00:00,12,2009,1,27
0,2679,Matt Carroll,Notre Dame,1980-08-28T00:00:00,10,Undrafted,Undrafted,Undrafted
0,1628975,Jevon Carter,West Virginia,1995-09-14T00:00:00,4,2018,2,32
0,203487,Michael Carter-Williams,Syracuse,1991-10-10T00:00:00,9,2013,1,11
