,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,Player,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,Year,Pick,Age
0,2003,12080,Justin,Hamilton,Justin Hamilton,PG-SG,75.0,217,83.0,103.0,8' 7'',30.0,37.5,11.18,3.18,C,33,990,.494,.503,.250,.781,12.9,7.2,0.9,0.8,1.3,22.7,4.3,5.9,2012,45,22
1,2009,201977,Marcus,Thornton,Marcus Thornton,SG,74.75,194.4,77.0,99.0,8' 3'',31.0,33.0,10.73,3.28,F,31,905,.480,.502,.300,.691,12.3,7.3,1.0,0.7,1.1,20.8,3.8,5.5,2015,45,22
2,2009,201977,Marcus,Thornton,Marcus Thornton,SG,74.75,194.4,77.0,99.0,8' 3'',31.0,33.0,10.73,3.28,G,33,1210,.456,.518,.402,.830,20.0,2.8,2.9,0.6,0.1,21.8,4.7,1.3,2015,45,22
3,2015,1626194,Marcus,Thornton,Marcus Thornton,PG-SG,73.75,177.4,79.75,97.5,8' 1.5'',34.5,43.0,10.78,3.02,F,31,905,.480,.502,.300,.691,12.3,7.3,1.0,0.7,1.1,20.8,3.8,5.5,2015,45,22
4,2015,1626194,Marcus,Thornton,Marcus Thornton,PG-SG,73.75,177.4,79.75,97.5,8' 1.5'',34.5,43.0,10.78,3.02,G,33,1210,.456,.518,.402,.830,20.0,2.8,2.9,0.6,0.1,21.8,4.7,1.3,2015,45,22
5,2011,202728,Keith,Benson,Keith Benson,C-PF,82.0,217,87.75,109.5,9' 1.5'',31.5,36.0,11.88,3.35,C,35,1133,.547,.556,.391,.643,17.9,10.1,1.1,0.8,3.6,28.8,5.7,5.4,2011,48,22
6,2011,202692,Alec,Burks,Alec Burks,SG,77.0,192.6,82.0,103.5,8' 7.5'',29.0,36.0,10.96,3.17,G,38,1193,.469,.508,.292,.825,20.5,6.5,2.9,1.1,0.3,29.4,6.6,8.1,2011,12,19
7,2011,202710,Jimmy,Butler,Jimmy Butler,SF,78.0,222.2,79.5,101.5,8' 5.5'',32.0,39.0,11.12,3.15,G,37,1282,.490,.515,.345,.783,15.7,6.1,2.3,1.4,0.4,24.0,6.3,9.4,2011,30,21
8,2011,202708,Norris,Cole,Norris Cole,PG,72.25,174.4,74.25,95.5,7' 11.5'',29.5,38.5,10.07,3.22,G,36,1285,.439,.473,.342,.853,21.7,5.8,5.3,2.2,0.1,30.0,8.3,10.2,2011,28,22
9,2011,202739,Jon,Diebler,Jon Diebler,SG,77.25,196.6,78.0,99.0,8' 3'',28.0,35.0,10.94,3.37,G,37,1320,.507,.525,.502,.810,12.6,2.6,2.4,1.0,0.1,19.6,6.8,11.6,2011,51,23
